结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-6-1,1.4424065853e-07,1.8840905977e-04,1.7802686489e-04,0.000000,0.000000,0.000000
t-6-2,2.0990816552e-07,2.0424637478e-04,1.7773931904e-04,0.000000,0.000000,0.002500
t-6-3,4.5120654590e-07,2.5298650144e-04,1.9173651526e-04,0.000000,0.000000,0.005000
t-6-4,7.8911034507e-07,3.0279648490e-04,2.1616557206e-04,0.000000,0.000000,0.007500
t-6-5,1.3517958450e-06,3.6555589759e-04,2.4571860558e-04,0.000000,0.000000,0.010000
t-6-6,2.0807392502e-06,4.3007891509e-04,2.7868419420e-04,0.000000,0.000000,0.012500
t-6-7,2.9706354781e-06,4.9523101188e-04,3.1355701503e-04,0.000000,0.000000,0.015000
t-6-8,4.0158565753e-06,5.6073674932e-04,3.4960033372e-04,0.000000,0.000000,0.017500
t-6-9,5.2107648116e-06,6.2664173311e-04,3.8655279786e-04,0.000000,0.000000,0.020000
t-7-0,6.4286805355e-06,6.8713235669e-04,4.2592585669e-04,0.000000,0.000000,0.022500
t-7-1,7.9117799032e-06,7.5512990588e-04,4.6494900016e-04,0.000000,0.000000,0.025000
t-7-2,2.0671084712e-05,7.2660663864e-04,4.9860082800e-04,0.000000,0.000000,0.027500
t-7-3,2.2371914383e-05,7.9092959641e-04,5.3520197980e-04,0.000000,0.000000,0.030000
t-7-4,5.8459700085e-05,8.9979177574e-04,6.3026743010e-04,0.000000,0.000000,0.032500
t-7-5,6.0231130192e-05,9.4747799449e-04,6.6180876456e-04,0.000000,0.000000,0.035000
t-7-6,6.2124076067e-05,9.9902180955e-04,6.9450499723e-04,0.000000,0.000000,0.037500
t-7-7,1.2048416102e-04,1.2161337072e-03,8.0982188229e-04,0.000000,0.000000,0.040000
t-7-8,1.2609455734e-04,1.2629227713e-03,8.4191589849e-04,0.000000,0.000000,0.042500
t-7-9,1.3138339273e-04,1.3054078445e-03,8.7665976025e-04,0.000000,0.000000,0.045000
t-8-0,1.3507662516e-04,1.3365594205e-03,9.1341696680e-04,0.000000,0.000000,0.047500
t-8-1,1.3961737568e-04,1.3665977167e-03,9.5704267733e-04,0.000000,0.000000,0.050000

统计项,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
平均值,8.2032260252e-05,9.1948633781e-04,6.4720805942e-04,,,
总和,6.7266453989e-03,7.5397878885e-02,,,,
结构数,82,,,,,,
