结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-6-7,2.1766412829e-05,1.0983989341e-03,7.3276128387e-04,0.023944,0.000000,0.000000
t-6-8,4.3717192602e-04,2.4417182431e-03,1.3743964955e-03,0.027465,0.000000,0.000000
t-6-9,4.5793878962e-04,2.4990171660e-03,1.4222993050e-03,0.031690,0.000000,0.000000
t-7-0,4.7712956439e-04,2.5863363408e-03,1.4847317943e-03,0.035915,0.000000,0.000000
t-7-1,4.9319531536e-04,2.6755889412e-03,1.5479725553e-03,0.039437,0.000000,0.000000
t-7-2,5.1644339692e-04,2.7671346907e-03,1.6358385328e-03,0.043662,0.000000,0.000000
t-7-3,5.4978678236e-04,2.8263274580e-03,1.7481493996e-03,0.047887,0.000000,0.000000
t-7-4,5.8993417770e-04,2.9077790678e-03,1.8741367385e-03,0.051408,0.000000,0.000000
t-7-5,8.8785542175e-04,3.4076797310e-03,2.1355450153e-03,0.055634,0.000000,0.000000
t-7-6,9.8127860110e-04,3.8724483456e-03,2.3408040870e-03,0.059859,0.000000,0.000000
t-7-7,1.0751360096e-03,4.3665887788e-03,2.5087473914e-03,0.063380,0.000000,0.000000
t-7-8,1.2176694581e-03,5.1347687840e-03,2.7186078951e-03,0.067606,0.000000,0.000000
t-7-9,1.4239925658e-03,6.1839455739e-03,2.9530357569e-03,0.071831,0.000000,0.000000
t-8-0,1.6838111915e-03,7.3186387308e-03,3.1806030311e-03,0.075352,0.000000,0.000000
t-8-1,2.1520555019e-03,8.9375246316e-03,3.5247227643e-03,0.079577,0.000000,0.000000

统计项,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
平均值,8.0850883387e-04,3.7148823030e-03,2.2019453153e-03,,,
总和,6.6297724843e-02,3.0462035537e-01,,,,
结构数,82,,,,,,
