结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-6-1,1.4424065853e-07,1.8840905977e-04,1.7802686489e-04,0.000000,0.000000,0.000000
t-6-2,1.2910750513e-07,1.8665756215e-04,1.8293486210e-04,0.000000,0.014925,0.000000
t-6-3,1.3246675223e-07,1.8965854542e-04,1.8852166249e-04,0.000000,0.029851,0.000000
t-6-4,2.1723941757e-07,2.1363560518e-04,2.0011633751e-04,0.000000,0.044776,0.000000
t-6-5,1.2013694004e-06,3.3410746255e-04,2.2450517281e-04,0.000000,0.060000,0.000000
t-6-6,2.5239239676e-06,4.2349571595e-04,2.5729413028e-04,0.000000,0.074925,0.000000
t-6-7,4.6261416173e-06,5.3075450705e-04,3.0385141145e-04,0.000000,0.089851,0.000000
t-6-8,9.0543308033e-06,7.0275587495e-04,3.6081654252e-04,0.000000,0.104776,0.000000
t-6-9,1.3658058378e-05,8.3746941527e-04,4.1922059609e-04,0.000000,0.120000,0.000000
t-7-0,2.8853783078e-05,1.1803903617e-03,4.8566539772e-04,0.000000,0.134925,0.000000
t-7-1,3.8510086597e-05,1.3358282158e-03,5.4175482364e-04,0.000000,0.149851,0.000000
t-7-2,5.2090457757e-05,1.5097631840e-03,6.0663436307e-04,0.000000,0.164776,0.000000
t-7-3,7.1607508289e-05,1.7110392218e-03,6.8550510332e-04,0.000000,0.180000,0.000000
t-7-4,9.5372997748e-05,1.9231566694e-03,7.7172770398e-04,0.000000,0.194925,0.000000
t-7-5,1.2827059254e-04,2.2128941491e-03,8.6159177590e-04,0.000000,0.209851,0.000000
t-7-6,1.5520893794e-04,2.4115939159e-03,9.5048663206e-04,0.000000,0.224776,0.000000
t-7-7,1.9532033184e-04,2.6698592119e-03,1.0438397294e-03,0.000000,0.240000,0.000000
t-7-8,2.5570407161e-04,3.0296619516e-03,1.1441837996e-03,0.000000,0.254925,0.000000
t-7-9,2.9973816709e-04,3.2503516413e-03,1.2359152315e-03,0.000000,0.269851,0.000000
t-8-0,3.7851993693e-04,3.6382181570e-03,1.3285262976e-03,0.000000,0.284776,0.000000
t-8-1,4.4974114280e-04,3.9225537330e-03,1.4177946141e-03,0.000000,0.300000,0.000000

统计项,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
平均值,5.3668965120e-04,4.1137589142e-03,1.5626443300e-03,,,
总和,4.4008553028e-02,3.3732822537e-01,,,,
结构数,82,,,,,,
